Capítulo,Versículo,Texto
2.0,43.0,واقيموا الصلاه واتوا الزكاه واركعوا مع الراكعين
2.0,44.0,اتامرون الناس بالبر وتنسون انفسكم وانتم تتلون الكتاب ۚ افلا تعقلون
2.0,45.0,واستعينوا بالصبر والصلاه ۚ وانها لكبيره الا علي الخاشعين
2.0,46.0,الذين يظنون انهم ملاقو ربهم وانهم اليه راجعون
2.0,47.0,يا بني اسرائيل اذكروا نعمتي التي انعمت عليكم واني فضلتكم علي العالمين
2.0,48.0,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها شفاعه ولا يؤخذ منها عدل ولا هم ينصرون
2.0,49.0,واذ نجيناكم من ال فرعون يسومونكم سوء العذاب يذبحون ابناءكم ويستحيون نساءكم ۚ وفي ذلكم بلاء من ربكم عظيم
2.0,50.0,واذ فرقنا بكم البحر فانجيناكم واغرقنا ال فرعون وانتم تنظرون
2.0,51.0,واذ واعدنا موسي اربعين ليله ثم اتخذتم العجل من بعده وانتم ظالمون
2.0,52.0,ثم عفونا عنكم من بعد ذلك لعلكم تشكرون
2.0,53.0,واذ اتينا موسي الكتاب والفرقان لعلكم تهتدون
2.0,54.0,واذ قال موسي لقومه يا قوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا الي بارئكم فاقتلوا انفسكم ذلكم خير لكم عند بارئكم فتاب عليكم ۚ انه هو التواب الرحيم
2.0,55.0,واذ قلتم يا موسي لن نؤمن لك حتي نري الله جهره فاخذتكم الصاعقه وانتم تنظرون
2.0,56.0,ثم بعثناكم من بعد موتكم لعلكم تشكرون
2.0,57.0,وظللنا عليكم الغمام وانزلنا عليكم المن والسلوي ۖ كلوا من طيبات ما رزقناكم ۖ وما ظلمونا ولكن كانوا انفسهم يظلمون
2.0,58.0,واذ قلنا ادخلوا هذه القريه فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطه نغفر لكم خطاياكم ۚ وسنزيد المحسنين
2.0,59.0,فبدل الذين ظلموا قولا غير الذي قيل لهم فانزلنا علي الذين ظلموا رجزا من السماء بما كانوا يفسقون
2.0,60.0,واذ استسقي موسي لقومه فقلنا اضرب بعصاك الحجر ۖ فانفجرت منه اثنتا عشره عينا ۖ قد علم كل اناس مشربهم ۖ كلوا واشربوا من رزق الله ولا تعثوا في الارض مفسدين
2.0,61.0,واذ قلتم يا موسي لن نصبر علي طعام واحد فادع لنا ربك يخرج لنا مما تنبت الارض من بقلها وقثائها وفومها وعدسها وبصلها ۖ قال اتستبدلون الذي هو ادني بالذي هو خير ۚ اهبطوا مصرا فان لكم ما سالتم ۗ وضربت عليهم الذله والمسكنه وباءوا بغضب من الله ۗ ذلك بانهم كانوا يكفرون بايات الله ويقتلون النبيين بغير الحق ۗ ذلك بما عصوا وكانوا يعتدون
2.0,62.0,ان الذين امنوا والذين هادوا والنصاري والصابئين من امن بالله واليوم الاخر وعمل صالحا فلهم اجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون
2.0,63.0,واذ اخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما اتيناكم بقوه واذكروا ما فيه لعلكم تتقون
2.0,64.0,ثم توليتم من بعد ذلك ۖ فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين
2.0,65.0,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قرده خاسئين
2.0,66.0,فجعلناها نكالا لما بين يديها وما خلفها وموعظه للمتقين
2.0,67.0,واذ قال موسي لقومه ان الله يامركم ان تذبحوا بقره ۖ قالوا اتتخذنا هزوا ۖ قال اعوذ بالله ان اكون من الجاهلين
2.0,68.0,قالوا ادع لنا ربك يبين لنا ما هي ۚ قال انه يقول انها بقره لا فارض ولا بكر عوان بين ذلك ۖ فافعلوا ما تؤمرون
2.0,69.0,قالوا ادع لنا ربك يبين لنا ما لونها ۚ قال انه يقول انها بقره صفراء فاقع لونها تسر الناظرين
2.0,70.0,قالوا ادع لنا ربك يبين لنا ما هي ان البقر تشابه علينا وانا ان شاء الله لمهتدون
2.0,71.0,قال انه يقول انها بقره لا ذلول تثير الارض ولا تسقي الحرث مسلمه لا شيه فيها ۚ قالوا الان جئت بالحق ۚ فذبحوها وما كادوا يفعلون
2.0,72.0,واذ قتلتم نفسا فاداراتم فيها ۖ والله مخرج ما كنتم تكتمون
2.0,73.0,فقلنا اضربوه ببعضها ۚ كذلك يحيي الله الموتي ويريكم اياته لعلكم تعقلون
2.0,74.0,ثم قست قلوبكم من بعد ذلك فهي كالحجاره او اشد قسوه ۚ وان من الحجاره لما يتفجر منه الانهار ۚ وان منها لما يشقق فيخرج منه الماء ۚ وان منها لما يهبط من خشيه الله ۗ وما الله بغافل عما تعملون
2.0,75.0,افتطمعون ان يؤمنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون
2.0,76.0,واذا لقوا الذين امنوا قالوا امنا واذا خلا بعضهم الي بعض قالوا اتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم ۚ افلا تعقلون
2.0,77.0,اولا يعلمون ان الله يعلم ما يسرون وما يعلنون
2.0,78.0,ومنهم اميون لا يعلمون الكتاب الا اماني وان هم الا يظنون
2.0,79.0,فويل للذين يكتبون الكتاب بايديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا ۖ فويل لهم مما كتبت ايديهم وويل لهم مما يكسبون
2.0,80.0,وقالوا لن تمسنا النار الا اياما معدوده ۚ قل اتخذتم عند الله عهدا فلن يخلف الله عهده ۖ ام تقولون علي الله ما لا تعلمون
2.0,81.0,بلي من كسب سيئه واحاطت به خطيئته فاولئك اصحاب النار ۖ هم فيها خالدون
2.0,82.0,والذين امنوا وعملوا الصالحات اولئك اصحاب الجنه ۖ هم فيها خالدون
2.0,83.0,واذ اخذنا ميثاق بني اسرائيل لا تعبدون الا الله وبالوالدين احسانا وذي القربي واليتامي والمساكين وقولوا للناس حسنا واقيموا الصلاه واتوا الزكاه ثم توليتم الا قليلا منكم وانتم معرضون
2.0,84.0,واذ اخذنا ميثاقكم لا تسفكون دماءكم ولا تخرجون انفسكم من دياركم ثم اقررتم وانتم تشهدون
2.0,85.0,ثم انتم هؤلاء تقتلون انفسكم وتخرجون فريقا منكم من ديارهم تظاهرون عليهم بالاثم والعدوان وان ياتوكم اساري تفادوهم وهو محرم عليكم اخراجهم ۚ افتؤمنون ببعض الكتاب وتكفرون ببعض ۚ فما جزاء من يفعل ذلك منكم الا خزي في الحياه الدنيا ۖ ويوم القيامه يردون الي اشد العذاب ۗ وما الله بغافل عما تعملون
2.0,86.0,اولئك الذين اشتروا الحياه الدنيا بالاخره ۖ فلا يخفف عنهم العذاب ولا هم ينصرون
2.0,87.0,ولقد اتينا موسي الكتاب وقفينا من بعده بالرسل ۖ واتينا عيسي ابن مريم البينات وايدناه بروح القدس ۗ افكلما جاءكم رسول بما لا تهوي انفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون
2.0,88.0,وقالوا قلوبنا غلف ۚ بل لعنهم الله بكفرهم فقليلا ما يؤمنون
2.0,89.0,ولما جاءهم كتاب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون علي الذين كفروا فلما جاءهم ما عرفوا كفروا به ۚ فلعنه الله علي الكافرين
2.0,90.0,بئسما اشتروا به انفسهم ان يكفروا بما انزل الله بغيا ان ينزل الله من فضله علي من يشاء من عباده ۖ فباءوا بغضب علي غضب ۚ وللكافرين عذاب مهين
2.0,91.0,واذا قيل لهم امنوا بما انزل الله قالوا نؤمن بما انزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم ۗ قل فلم تقتلون انبياء الله من قبل ان كنتم مؤمنين
2.0,92.0,ولقد جاءكم موسي بالبينات ثم اتخذتم العجل من بعده وانتم ظالمون
2.0,93.0,واذ اخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما اتيناكم بقوه واسمعوا ۖ قالوا سمعنا وعصينا واشربوا في قلوبهم العجل بكفرهم ۚ قل بئسما يامركم به ايمانكم ان كنتم مؤمنين
2.0,94.0,قل ان كانت لكم الدار الاخره عند الله خالصه من دون الناس فتمنوا الموت ان كنتم صادقين
2.0,95.0,ولن يتمنوه ابدا بما قدمت ايديهم ۗ والله عليم بالظالمين
2.0,96.0,ولتجدنهم احرص الناس علي حياه ومن الذين اشركوا ۚ يود احدهم لو يعمر الف سنه وما هو بمزحزحه من العذاب ان يعمر ۗ والله بصير بما يعملون
2.0,97.0,قل من كان عدوا لجبريل فانه نزله علي قلبك باذن الله مصدقا لما بين يديه وهدي وبشري للمؤمنين
2.0,98.0,من كان عدوا لله وملائكته ورسله وجبريل وميكال فان الله عدو للكافرين
2.0,99.0,ولقد انزلنا اليك ايات بينات ۖ وما يكفر بها الا الفاسقون
2.0,100.0,اوكلما عاهدوا عهدا نبذه فريق منهم ۚ بل اكثرهم لا يؤمنون
2.0,101.0,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين اوتوا الكتاب كتاب الله وراء ظهورهم كانهم لا يعلمون
2.0,102.0,واتبعوا ما تتلو الشياطين علي ملك سليمان ۖ وما كفر سليمان ولكن الشياطين كفروا يعلمون الناس السحر وما انزل علي الملكين ببابل هاروت وماروت ۚ وما يعلمان من احد حتي يقولا انما نحن فتنه فلا تكفر ۖ فيتعلمون منهما ما يفرقون به بين المرء وزوجه ۚ وما هم بضارين به من احد الا باذن الله ۚ ويتعلمون ما يضرهم ولا ينفعهم ۚ ولقد علموا لمن اشتراه ما له في الاخره من خلاق ۚ ولبئس ما شروا به انفسهم ۚ لو كانوا يعلمون
2.0,103.0,ولو انهم امنوا واتقوا لمثوبه من عند الله خير ۖ لو كانوا يعلمون
2.0,104.0,يا ايها الذين امنوا لا تقولوا راعنا وقولوا انظرنا واسمعوا ۗ وللكافرين عذاب اليم
2.0,105.0,ما يود الذين كفروا من اهل الكتاب ولا المشركين ان ينزل عليكم من خير من ربكم ۗ والله يختص برحمته من يشاء ۚ والله ذو الفضل العظيم
2.0,106.0,ما ننسخ من ايه او ننسها نات بخير منها او مثلها ۗ الم تعلم ان الله علي كل شيء قدير
2.0,107.0,الم تعلم ان الله له ملك السماوات والارض ۗ وما لكم من دون الله من ولي ولا نصير
2.0,108.0,ام تريدون ان تسالوا رسولكم كما سئل موسي من قبل ۗ ومن يتبدل الكفر بالايمان فقد ضل سواء السبيل
2.0,109.0,ود كثير من اهل الكتاب لو يردونكم من بعد ايمانكم كفارا حسدا من عند انفسهم من بعد ما تبين لهم الحق ۖ فاعفوا واصفحوا حتي ياتي الله بامره ۗ ان الله علي كل شيء قدير
2.0,110.0,واقيموا الصلاه واتوا الزكاه ۚ وما تقدموا لانفسكم من خير تجدوه عند الله ۗ ان الله بما تعملون بصير
2.0,111.0,وقالوا لن يدخل الجنه الا من كان هودا او نصاري ۗ تلك امانيهم ۗ قل هاتوا برهانكم ان كنتم صادقين
2.0,112.0,بلي من اسلم وجهه لله وهو محسن فله اجره عند ربه ولا خوف عليهم ولا هم يحزنون
2.0,113.0,وقالت اليهود ليست النصاري علي شيء وقالت النصاري ليست اليهود علي شيء وهم يتلون الكتاب ۗ كذلك قال الذين لا يعلمون مثل قولهم ۚ فالله يحكم بينهم يوم القيامه فيما كانوا فيه يختلفون
2.0,114.0,ومن اظلم ممن منع مساجد الله ان يذكر فيها اسمه وسعي في خرابها ۚ اولئك ما كان لهم ان يدخلوها الا خائفين ۚ لهم في الدنيا خزي ولهم في الاخره عذاب عظيم
2.0,115.0,ولله المشرق والمغرب ۚ فاينما تولوا فثم وجه الله ۚ ان الله واسع عليم
2.0,116.0,وقالوا اتخذ الله ولدا ۗ سبحانه ۖ بل له ما في السماوات والارض ۖ كل له قانتون
2.0,117.0,بديع السماوات والارض ۖ واذا قضي امرا فانما يقول له كن فيكون
2.0,118.0,وقال الذين لا يعلمون لولا يكلمنا الله او تاتينا ايه ۗ كذلك قال الذين من قبلهم مثل قولهم ۘ تشابهت قلوبهم ۗ قد بينا الايات لقوم يوقنون
2.0,119.0,انا ارسلناك بالحق بشيرا ونذيرا ۖ ولا تسال عن اصحاب الجحيم
2.0,120.0,ولن ترضي عنك اليهود ولا النصاري حتي تتبع ملتهم ۗ قل ان هدي الله هو الهدي ۗ ولئن اتبعت اهواءهم بعد الذي جاءك من العلم ۙ ما لك من الله من ولي ولا نصير
2.0,121.0,الذين اتيناهم الكتاب يتلونه حق تلاوته اولئك يؤمنون به ۗ ومن يكفر به فاولئك هم الخاسرون
2.0,122.0,يا بني اسرائيل اذكروا نعمتي التي انعمت عليكم واني فضلتكم علي العالمين
2.0,123.0,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها عدل ولا تنفعها شفاعه ولا هم ينصرون
2.0,124.0,واذ ابتلي ابراهيم ربه بكلمات فاتمهن ۖ قال اني جاعلك للناس اماما ۖ قال ومن ذريتي ۖ قال لا ينال عهدي الظالمين
2.0,125.0,واذ جعلنا البيت مثابه للناس وامنا واتخذوا من مقام ابراهيم مصلي ۖ وعهدنا الي ابراهيم واسماعيل ان طهرا بيتي للطائفين والعاكفين والركع السجود
2.0,126.0,واذ قال ابراهيم رب اجعل هذا بلدا امنا وارزق اهله من الثمرات من امن منهم بالله واليوم الاخر ۖ قال ومن كفر فامتعه قليلا ثم اضطره الي عذاب النار ۖ وبئس المصير
2.0,127.0,واذ يرفع ابراهيم القواعد من البيت واسماعيل ربنا تقبل منا ۖ انك انت السميع العليم
2.0,128.0,ربنا واجعلنا مسلمين لك ومن ذريتنا امه مسلمه لك وارنا مناسكنا وتب علينا ۖ انك انت التواب الرحيم
2.0,129.0,ربنا وابعث فيهم رسولا منهم يتلو عليهم اياتك ويعلمهم الكتاب والحكمه ويزكيهم ۚ انك انت العزيز الحكيم
2.0,130.0,ومن يرغب عن مله ابراهيم الا من سفه نفسه ۚ ولقد اصطفيناه في الدنيا ۖ وانه في الاخره لمن الصالحين
2.0,131.0,اذ قال له ربه اسلم ۖ قال اسلمت لرب العالمين
2.0,132.0,ووصي بها ابراهيم بنيه ويعقوب يا بني ان الله اصطفي لكم الدين فلا تموتن الا وانتم مسلمون
2.0,133.0,ام كنتم شهداء اذ حضر يعقوب الموت اذ قال لبنيه ما تعبدون من بعدي قالوا نعبد الهك واله ابائك ابراهيم واسماعيل واسحاق الها واحدا ونحن له مسلمون
2.0,134.0,تلك امه قد خلت ۖ لها ما كسبت ولكم ما كسبتم ۖ ولا تسالون عما كانوا يعملون
2.0,135.0,وقالوا كونوا هودا او نصاري تهتدوا ۗ قل بل مله ابراهيم حنيفا ۖ وما كان من المشركين
2.0,136.0,قولوا امنا بالله وما انزل الينا وما انزل الي ابراهيم واسماعيل واسحاق ويعقوب والاسباط وما اوتي موسي وعيسي وما اوتي النبيون من ربهم لا نفرق بين احد منهم ونحن له مسلمون
2.0,137.0,فان امنوا بمثل ما امنتم به فقد اهتدوا ۖ وان تولوا فانما هم في شقاق ۖ فسيكفيكهم الله ۚ وهو السميع العليم
2.0,138.0,صبغه الله ۖ ومن احسن من الله صبغه ۖ ونحن له عابدون
2.0,139.0,قل اتحاجوننا في الله وهو ربنا وربكم ولنا اعمالنا ولكم اعمالكم ونحن له مخلصون
2.0,140.0,ام تقولون ان ابراهيم واسماعيل واسحاق ويعقوب والاسباط كانوا هودا او نصاري ۗ قل اانتم اعلم ام الله ۗ ومن اظلم ممن كتم شهاده عنده من الله ۗ وما الله بغافل عما تعملون
2.0,141.0,تلك امه قد خلت ۖ لها ما كسبت ولكم ما كسبتم ۖ ولا تسالون عما كانوا يعملون
2.0,142.0,سيقول السفهاء من الناس ما ولاهم عن قبلتهم التي كانوا عليها ۚ قل لله المشرق والمغرب ۚ يهدي من يشاء الي صراط مستقيم
2.0,143.0,وكذلك جعلناكم امه وسطا لتكونوا شهداء علي الناس ويكون الرسول عليكم شهيدا ۗ وما جعلنا القبله التي كنت عليها الا لنعلم من يتبع الرسول ممن ينقلب علي عقبيه ۚ وان كانت لكبيره الا علي الذين هدي الله ۗ وما كان الله ليضيع ايمانكم ۚ ان الله بالناس لرءوف رحيم
2.0,144.0,قد نري تقلب وجهك في السماء ۖ فلنولينك قبله ترضاها ۚ فول وجهك شطر المسجد الحرام ۚ وحيث ما كنتم فولوا وجوهكم شطره ۗ وان الذين اوتوا الكتاب ليعلمون انه الحق من ربهم ۗ وما الله بغافل عما يعملون
2.0,145.0,ولئن اتيت الذين اوتوا الكتاب بكل ايه ما تبعوا قبلتك ۚ وما انت بتابع قبلتهم ۚ وما بعضهم بتابع قبله بعض ۚ ولئن اتبعت اهواءهم من بعد ما جاءك من العلم ۙ انك اذا لمن الظالمين
2.0,146.0,الذين اتيناهم الكتاب يعرفونه كما يعرفون ابناءهم ۖ وان فريقا منهم ليكتمون الحق وهم يعلمون
2.0,147.0,الحق من ربك ۖ فلا تكونن من الممترين
2.0,148.0,ولكل وجهه هو موليها ۖ فاستبقوا الخيرات ۚ اين ما تكونوا يات بكم الله جميعا ۚ ان الله علي كل شيء قدير
2.0,149.0,ومن حيث خرجت فول وجهك شطر المسجد الحرام ۖ وانه للحق من ربك ۗ وما الله بغافل عما تعملون
2.0,150.0,ومن حيث خرجت فول وجهك شطر المسجد الحرام ۚ وحيث ما كنتم فولوا وجوهكم شطره لئلا يكون للناس عليكم حجه الا الذين ظلموا منهم فلا تخشوهم واخشوني ولاتم نعمتي عليكم ولعلكم تهتدون
2.0,151.0,كما ارسلنا فيكم رسولا منكم يتلو عليكم اياتنا ويزكيكم ويعلمكم الكتاب والحكمه ويعلمكم ما لم تكونوا تعلمون
2.0,152.0,فاذكروني اذكركم واشكروا لي ولا تكفرون
2.0,153.0,يا ايها الذين امنوا استعينوا بالصبر والصلاه ۚ ان الله مع الصابرين
2.0,154.0,ولا تقولوا لمن يقتل في سبيل الله اموات ۚ بل احياء ولكن لا تشعرون
2.0,155.0,ولنبلونكم بشيء من الخوف والجوع ونقص من الاموال والانفس والثمرات ۗ وبشر الصابرين
2.0,156.0,الذين اذا اصابتهم مصيبه قالوا انا لله وانا اليه راجعون
2.0,157.0,اولئك عليهم صلوات من ربهم ورحمه ۖ واولئك هم المهتدون
2.0,158.0,ان الصفا والمروه من شعائر الله ۖ فمن حج البيت او اعتمر فلا جناح عليه ان يطوف بهما ۚ ومن تطوع خيرا فان الله شاكر عليم
2.0,159.0,ان الذين يكتمون ما انزلنا من البينات والهدي من بعد ما بيناه للناس في الكتاب ۙ اولئك يلعنهم الله ويلعنهم اللاعنون
2.0,160.0,الا الذين تابوا واصلحوا وبينوا فاولئك اتوب عليهم ۚ وانا التواب الرحيم
2.0,161.0,ان الذين كفروا وماتوا وهم كفار اولئك عليهم لعنه الله والملائكه والناس اجمعين
2.0,162.0,خالدين فيها ۖ لا يخفف عنهم العذاب ولا هم ينظرون
2.0,163.0,والهكم اله واحد ۖ لا اله الا هو الرحمن الرحيم
2.0,164.0,ان في خلق السماوات والارض واختلاف الليل والنهار والفلك التي تجري في البحر بما ينفع الناس وما انزل الله من السماء من ماء فاحيا به الارض بعد موتها وبث فيها من كل دابه وتصريف الرياح والسحاب المسخر بين السماء والارض لايات لقوم يعقلون
2.0,165.0,ومن الناس من يتخذ من دون الله اندادا يحبونهم كحب الله ۖ والذين امنوا اشد حبا لله ۗ ولو يري الذين ظلموا اذ يرون العذاب ان القوه لله جميعا وان الله شديد العذاب
2.0,166.0,اذ تبرا الذين اتبعوا من الذين اتبعوا وراوا العذاب وتقطعت بهم الاسباب
2.0,167.0,وقال الذين اتبعوا لو ان لنا كره فنتبرا منهم كما تبرءوا منا ۗ كذلك يريهم الله اعمالهم حسرات عليهم ۖ وما هم بخارجين من النار
2.0,168.0,يا ايها الناس كلوا مما في الارض حلالا طيبا ولا تتبعوا خطوات الشيطان ۚ انه لكم عدو مبين
2.0,169.0,انما يامركم بالسوء والفحشاء وان تقولوا علي الله ما لا تعلمون
2.0,170.0,واذا قيل لهم اتبعوا ما انزل الله قالوا بل نتبع ما الفينا عليه اباءنا ۗ اولو كان اباؤهم لا يعقلون شيئا ولا يهتدون
2.0,171.0,ومثل الذين كفروا كمثل الذي ينعق بما لا يسمع الا دعاء ونداء ۚ صم بكم عمي فهم لا يعقلون
2.0,172.0,يا ايها الذين امنوا كلوا من طيبات ما رزقناكم واشكروا لله ان كنتم اياه تعبدون
2.0,173.0,انما حرم عليكم الميته والدم ولحم الخنزير وما اهل به لغير الله ۖ فمن اضطر غير باغ ولا عاد فلا اثم عليه ۚ ان الله غفور رحيم
2.0,174.0,ان الذين يكتمون ما انزل الله من الكتاب ويشترون به ثمنا قليلا ۙ اولئك ما ياكلون في بطونهم الا النار ولا يكلمهم الله يوم القيامه ولا يزكيهم ولهم عذاب اليم
2.0,175.0,اولئك الذين اشتروا الضلاله بالهدي والعذاب بالمغفره ۚ فما اصبرهم علي النار
2.0,176.0,ذلك بان الله نزل الكتاب بالحق ۗ وان الذين اختلفوا في الكتاب لفي شقاق بعيد
2.0,177.0,ليس البر ان تولوا وجوهكم قبل المشرق والمغرب ولكن البر من امن بالله واليوم الاخر والملائكه والكتاب والنبيين واتي المال علي حبه ذوي القربي واليتامي والمساكين وابن السبيل والسائلين وفي الرقاب واقام الصلاه واتي الزكاه والموفون بعهدهم اذا عاهدوا ۖ والصابرين في الباساء والضراء وحين الباس ۗ اولئك الذين صدقوا ۖ واولئك هم المتقون
2.0,178.0,يا ايها الذين امنوا كتب عليكم القصاص في القتلي ۖ الحر بالحر والعبد بالعبد والانثي بالانثي ۚ فمن عفي له من اخيه شيء فاتباع بالمعروف واداء اليه باحسان ۗ ذلك تخفيف من ربكم ورحمه ۗ فمن اعتدي بعد ذلك فله عذاب اليم
2.0,179.0,ولكم في القصاص حياه يا اولي الالباب لعلكم تتقون
2.0,180.0,كتب عليكم اذا حضر احدكم الموت ان ترك خيرا الوصيه للوالدين والاقربين بالمعروف ۖ حقا علي المتقين
